user,rating,date,review
Rousset Marie-Laure c/o Kersauze Anne-Marie,"5,0",12 février 2019,"J'utilise ce téléphone pour une utilisation personnelle. J'ai lâché mon iPhone 6S pour celui-ci et je ne le regrette absolument pas. L'écran et malheur les fonctionnalités sont bien plus grandes et aussi faciles d'utilisation. Le lecteur d'empreinte est plus rapide et la reconnaissance facials super pratique ! L'appareil photo est par contre pas un très bon point mais il fait le job !
Je recommande vivement ce huawei mate 20lite"
Ferdinand ,"5,0",8 février 2019,"Déçu de la marque Apple avec de nombreux problèmes liés à l'obsolescence programmée, j'ai décidé de me tourner vers un appareil Android et je dois avouer que je suis vraiment surpris de la performance et la qualité de cet Huawei mate 20 lite. Super appareil, bardé d'options et de réglages possible et inimaginable, batterie qui tient en utilisation intensive ! Appareil photos excellent, Je ne suis pas prêt de retourner chez Apple"
Kanon,"5,0",15 mars 2019,"Ayant eu un Sony Xperia qui m’a beaucoup déçu, je suis enchanté par ce téléphone et toutes ses fonctions, dont la reconnaissance faciale qui est vraiment efficace, il ne se déverrouille vraiment qu’avec moi.
Les photos sont de bonne qualité et la fonction qui éclaire l’écran pour prendre un selfie en pleine nuit est assez efficace.
Je recommande fortement ce téléphone surtout au prix où il est en ce moment."
Lassalle emilie,"5,0",30 mai 2019,"J adore, très bonne tenue de la batterie, qualité de l image très bonne ainsi que la qualité des photos. Niveau son on reste un peu comme tout les smartphones c est a dire pas vraiment fort. Ça reste un très bon téléphone. Je ne suis vraiment pas déçue de cet achat je le recommande ! Très bon rapport qualité."
jduchemi,"5,0",8 avril 2019,Très bonne autonomie de la batterie surtout si l'on programme un sommeil nocturne. Photos et son de bon niveau.
Client d'Amazon,"4,0",30 avril 2019,"Je suis passé de la gamme LG (G4 et G6) à Huawei et ce smartphone qui était très bien noté et pour un prix très accessible et pour une forte utilisation pro. Qualité vidéo et photo vraiment top ! Fluidité des applis et la reconnaissance faciale très réactive.
Seul gros bémol dans mon cas car je vois dans les autres commentaires que ce n'est pas le cas, c'est la durée de la batterie. Ne tient absolument pas la journée, pas plus que mon LG G6 au bout de 15 mois !
En espérant ce commentaire utile."
Audrey - ElP,"5,0",24 janvier 2019,"je ne pensais pas que la qualité été aussi génial, vivement que je reçoive ma coque pour l'utiliser sans peur, vu qu'il est en verre On ne sait jamais ;-)"
Mathilde Pommier,"5,0",2 janvier 2019,Super téléphone reçu rapidement même en période de fêtes. Pas déçue de huawei et je recommande à 100% gros avantage sur la durée de la batterie et qualité des photos. L'emballage était intact cependant il serait bien de sécuriser davantage le colis.
Jessica BEGHIEN,"5,0",6 juin 2019,"Correspond tout à fait à mes attentes. Dans carton officiel Huawei. Juste oreillettes de basse qualité mais le téléphone est beau, rapide, et dynamique.
Je le recommande vivement mais à voir avec le temps."
YELLO JACKET,"5,0",21 février 2019,"Bonjour.
C'est un excellent produit. Je l'avais offert à ma moitié pour la Saint Valentin.
Et comme je ne savais quoi, choisir comme téléphone.
Je m'en suis racheté un autre.
Pour son, il est bluffant.
N'hésitez pas.
Merci beaucoup à la boutique
TEKNO STORE.
IMPECCABLE.
LE NOUVEAU COMMANDÉ, LE 20/02, EN ATTENTE DE RÉCEPTION AUJOURD'HUI.
MERCI. TEKNO STORE"
