user,rating,date,review
Salim le Parqueteur,"5,0",28 novembre 2018,"Très satisfait de cet iPhone 8plus simplicité efficacité rapidité encore plus rapide que mon pic portable doté d’un son puissant la musique sur le chantier juste parfaite j’adore prenez une bonne protection car avec le poid plus lourd que iPhone 5,6,7si ça tombe ça fait très mal livraison rapide et c’est bien l’original le prix et largement moins cher sur Amazon chez SFR et orange sans forfaits compter au tour de 900€ a mon avis y’a une économie entre 200 et 300€ facile"
Jeremy Appadourai,"5,0",15 juin 2018,"L’iphone 8 est beaucoup plus rapide que iphone Se, pour le reste pas de super grande difference hormis peut etre la charge sans fil.
J’etais assez retissant à commander sur amazon ce produit, la différence de prix étant énorme, je m’attendais a une arnaque.
Au final la livraison a été rapide et j’ai entre les mains un véritable produit Apple.
Je ne regrette pas de m’être fier aux commentaires.
Je recommande.
Pour info le vendeur pour moi c’etait Fib-tech."
Club Martégal Handisport,"5,0",11 mai 2019,"J'avais in iPhone 6 qui commençait à prendre de l'âge et je me suis dit qu'il était temps d'en changer. Ce pourquoi j'ai acheté cat iPhone 8. Par contre j'avais le choix, soit l'acheter sur Amazon, soit sur Apple Store. Je vous avoue que j'étais à la limite de renvoyer ma commande sur Amazon car après l'avoir commandé, je me suis aperçu qu'il étais à 519 € avec reprise et à 685,28€ sans reprise. Chez Amazon avec remise il m'a couté 629,00€. Je vous laisse calculer la difference."
BONDU,"5,0",26 juin 2018,Reconnu directement et aucun soucis de fonctionnement après plus d’un mois d’utilisation.
JMarc,"5,0",9 octobre 2018,Reçu comme prévu et parfauemballe dans la boîte d origine avec les accessoires qui vont avec.
Alik agadjanyan,"5,0",9 août 2018,"Parfait, produits reçus neuf, j’ai vérifié sur apple avec là numéro de série le produit est d’origine et sous garantie, je recommande c’est vraiment pas chère comparé au magasin"
dadem,"1,0",11 décembre 2018,Mauvais article reçu ! déçu !
Soleymieux Gwenaelle,"4,0",23 mars 2018,"Très beau téléphone, avec beaucoup de nouvelles fonctions par rapport à mon ancien iPhone (5S), le seul bemol a été le carton du colis, mal fermé, donc on pouvait voir ce que j’avais commandé, pas très sérieux ! Mais heureusement un livreur au top."
Client d'Amazon,"4,0",4 juillet 2018,Juste super c’est le moins cher de tous les e-commercant et j’aime énormément ce téléphone je suis ravie
favrel,"1,0",8 décembre 2018,"Ce n'est pas un iPhone 8 Plus, mais un iPhone 8 qui a été envoyé."
