user,rating,date,review
Jo,"5,0",8 mai 2019,"Tres bon téléphone. L'appareil photo est de très bonne qualité. Rapide, un son fort pour la musique ;)"
Client d'Amazon,"5,0",23 décembre 2018,Bon
Client Kindle,"5,0",18 mars 2019,"Je n'ai pas essayé la reconnaissance faciale. Par contre le reste est très bien. La bascule entre les cartes Sim se fait de manière automatique.
Très bon produit"
mohamed,"5,0",1 mai 2019,Tout va bien pour mon fils
Giovanni,"5,0",21 avril 2019,"Bon produit , conforme a la description, bon rapport qualité / prix."
Claude,"5,0",11 avril 2019,"Belle qualitée photo
Bonne ergonomie
Un bémol sur la puissance du haut-parleur."
Lolo,"5,0",19 décembre 2018,Super
Rrrrr,"5,0",9 mars 2019,Bonne experience la qualite samsung est la. Et niveau stockage est important
virgile,"5,0",21 janvier 2019,Bon rapport qualité prix
felipe josiane,"5,0",10 mars 2019,Ce produit est avant tout un telephone très agréable point de vue des qualités et des services qu'il fournit.
Steven,"5,0",14 mars 2019,Acheter en decembre rien a signaler le produit et conforme à mes attentes seul defaut pas de charge rapide mais batterie qui dure en contrepartie
Morel,"4,0",20 avril 2019,"Bon telephone.
Ne vaut pas un S mais je l'ai pris pour ma fille et il et tres bien pour elle."
angignard bruno,"5,0",25 janvier 2019,"Bon portable fonctionne  tres bien et facile a utilisé  je le recommande
Merci à Amazon livraison rapide"
DASTIC,"5,0",14 mars 2019,j'ai beaucoup de réservations pour mon gite je dois me servir de ce téléphone très souvent
Client d'Amazon,"4,0",8 avril 2019,Je viens de l'offrir à ma fille qui semble satisfaite mais elle n'a pas encore eu le temps de découvrir toutes les applications.
Client d'Amazon,"4,0",22 mars 2019,totalement satisfait
Valtat,"4,0",11 mars 2019,"Il a une bonne durée de batterie, il a beaucoup d'espace, la qualité photo est aussi très bien."
Marine,"5,0",23 janvier 2019,"Super téléphone super grand , réagis aussitôt et est arrivé avec une journée d’avance je recommande"
Client d'Amazon,"5,0",24 février 2019,"Très satisfaite, prise en main facile. Idéal pour la débutante que je suis. De plus envoi rapide, c est parfait"
MENNADI Tekfa,"5,0",8 janvier 2019,"Acheté pour mon fils de 13 ans.
Grand écran idéal pour jouer sur un téléphone"
Meurant sylvie,"5,0",1 avril 2019,"apres un iphone je constate la difference bcp plus simple d utilisation gran écran, belle couleur et maniable."
sabine baudru,"4,0",19 janvier 2019,"Achete pout mln ado de 14 ans. Il en est très content!
Livre rapidement très bon rapport qualité prix"
penelope,"5,0",4 février 2019,il y a énormément de possibilité  il me sert aussi pour retrouver ma voiture télèph  avec skype
Gg33,"5,0",12 mai 2019,"Je suis ravie de mon achat
Bon produit
Écran agréable"
Sylla,"5,0",17 avril 2019,"Bonne qualité de produit
Merci"
seine,"5,0",30 décembre 2018,la précision d'un éventuel changement de puce m'aurait permis d'anticiper cette commande auprès de mon fournisseur.
Client d'Amazon,"4,0",16 février 2019,"Téléphone  grand écran
Mémoire interressante
Qualité correcte"
Vaval,"4,0",31 décembre 2018,"Pour l'instant une bonne prise de main car je viens tout juste de l'avoir , je verrai par la suite."
allaire marjorye,"4,0",18 janvier 2019,Pour l’instant rien a dire
Msevin,"5,0",30 décembre 2018,"Téléphone top, de bonne taille, facile d'usage
Seul point négatif : le son des notifications(résonne)"
Chris,"5,0",4 mai 2019,utilisation personnelle. écran très large. fonctionnalités très intuitives.
Daniela Matias,"5,0",11 juin 2019,Très bien. Excellent qualité prix.
Client d'Amazon,"5,0",8 janvier 2019,Au top du top rien à dire.
ATEMA,"5,0",20 janvier 2019,Très bon appareil !
Chevalier J.,"3,0",12 mars 2019,pas encore assez d'expérience
Client d'Amazon,"5,0",30 mars 2019,simplicité et grande qualitée
DOSSOU,"5,0",7 avril 2019,Super téléphone
Mohammed,"4,0",25 avril 2019,J'aime bien ce smartphone Samsung j6+ je suis content de ma.commande
winkel V. ,"4,0",18 avril 2019,"Service rapide, excellent smartphone très bon rapport qualité prix"
Fred.du 83.,"5,0",25 avril 2019,Très bon produit . TV . INTERNET . JEUX tout fonctionne très bien
lassalle,"5,0",14 mai 2019,Je suis très contente
BEGUE jp,"5,0",29 janvier 2019,Perso
Client d'Amazon,"5,0",21 mars 2019,j;aime la marque j;ai plusieur appareil est tres satisfaite
Client d'Amazon,"4,0",27 mai 2019,Facile à utiliser
CD,"5,0",23 janvier 2019,je n'ai pas encore eu le temps d'evaluer les performances du produit
Cathy,"5,0",14 janvier 2019,Pas du tout déçue de mon achat et une sacré  différence  de prix
isabelle,"5,0",11 mars 2019,Envoyé dans les délais  aev garanties. Parfait !!!
ghestin louis,"5,0",10 mai 2019,facile d'utilisation et performant bonne autonomie
fernande vanlande,"5,0",9 juin 2019,super
GRANGIER Sonia,"5,0",12 mai 2019,Super
Jaja,"5,0",23 mars 2019,Excellent rapport qualité-prix.
NuNuméro de service client,"5,0",4 mars 2019,Très bien merci
Virginie MINTA,"5,0",20 mai 2019,Internet sms appel messenger
CrewZ,"5,0",26 janvier 2019,Pour le prix c est vraiment pas mal
LanaLalo,"5,0",21 janvier 2019,Très bon rapport qualité prix et un chouette look
Luc D.,"4,0",18 février 2019,Pas mal
Client d'Amazon,"5,0",6 mars 2019,Très beau téléphone.Fonctionnel
Béatrice,"4,0",21 février 2019,Produit conforme à mes attentes
Client d'Amazon,"5,0",13 mars 2019,photo internette
Philippe,"3,0",5 juin 2019,Cool et rapide
Tep 9405,"4,0",5 mai 2019,pour utilisation personnel
Mama,"5,0",7 avril 2019,Produit top
DINA Georges,"4,0",12 janvier 2019,ras
othman,"5,0",2 juin 2019,Bon produit
Ionela,"5,0",28 mars 2019,Satisfet
Gheorghe,"5,0",15 avril 2019,Super
Elshahry Aya,"5,0",23 janvier 2019,J’ Le produit
Amar talla,"5,0",12 mars 2019,Très jolie
Zak,"4,0",9 février 2019,"J'ai récemment acquis ce modèle Samsung. Je suis encore dans la phase ""découverte, apprentissage"". Il me convient pour le moment, les applications sont nombreuses mais pas envahissantes. Pour jouer à de petits jeux il suffit mais il ne convient pas pour les jeux 3D. le rendu des images et des films est bon mais le contraste et la luminosité sont excellents. Processeur basique et peu performant. leger dans la moyenne et bonne ergonomie dans l'ensemble. Si vous êtes un maniaque de la propreté vous passerez autant de temps à passer la chiffonnette pour oter les traces digitales qu'à utiliser les applications du smartphone (les traces de doigts sont visibles partout !). Rapport qualité/prix : moyen."
Aghrib a.,"1,0",3 janvier 2019,"Nul, produits qui peux  se lâcher m'importe quelle moment ! En plus une ogmontation de prix !!! Au magasins  coute mon chère ☠"
Alex M,"5,0",3 janvier 2019,"Très bonne surprise! Milieu de gamme Samsung très réactif, écran superbe, photos satisfaisantes et fonctionnalités au top! Je recommande pour ce prix !"
galin patricia,"5,0",20 mai 2019,"Je viens de le recevoir, pour le moment pas de souci"
Client d'Amazon,"5,0",17 février 2019,Super aucun souci pour l'instant
S.b,"5,0",12 mars 2019,Super tél rien a redire ma fille est ravie !
Lamsiah,"5,0",19 janvier 2019,Oui j'aime bien
Priscilla,"5,0",28 décembre 2018,Offert a mon mari pour son Noël il en est ravi. Il fait de belles photos. Il y a 32Go d'espace. Il est simple d'utilisation. Très bon rapport qualité prix. Fonctionne avec une NANO sim uniquement.
Sylviane ,"5,0",9 avril 2019,"J'ai longtemps hésité avant d'acheter le Samsung J6+, à cause des commentaires assez négatifs que j'ai lu à son propos. Et je suis agréablement surprise.
Les photos sont très nettes, très bonne qualité de l'écran.
Son utilisation est facile, très intuitive.
Sa capacité de stockage et ses 3 RAM de mémoire vive ont été les points forts pour lesquels j'ai voulu l'acheter, et je ne suis pas du tout déçue.
On peut aisément installer des applis, même des jeux assez gourmands sans bug. On peut également jongler facilement d'une appli à une autre, ainsi que regarder des films, vidéo sur YouTube....
Il ne chauffe pas, et la batterie tient presque 2 jours alors que je m'en sert beaucoup.
Bref je suis vraiment très satisfaite de mon achat.
Je recommande."
