user,rating,date,review
MagFly,"5,0",8 juin 2019,Ma fille est satisfaite et le préfère au mien qui est un Motorola G4 Play. Elle trouve qu'il est plus facile 🤦🏼‍♀️ pourquoi pas 🤷🏼‍♀️
Client d'Amazon,"2,0",9 mai 2019,n a jamais fonctionné retour a l envoyeur..
Alain Guedes,"4,0",8 mai 2019,Belles photos bonne audio .peut être plus difficile à trouver un écran à remplacer !
Sachy Veronique,"5,0",23 avril 2019,Facile d'utilisation
claudio,"5,0",29 avril 2019,"Excellent ! Super smartphone, installation de la carte sim rapide et sans problème  !"
Joseph,"5,0",2 juin 2019,"J'arrive à utiliser ce téléphone pendant 3 jours sur une seule recharge.
Par contre les tonalités ne sont pas les meilleures du monde."
Komadan ,"4,0",30 mai 2019,"tout ce que cet appareil peut faire;
si amazone peut accepter me le revendre un deuxième u même prix, je racheterais du coup"
Amazon Customer,"4,0",12 mai 2019,Bon smartphone de moyenne gamme. Dommage qu'il n'y ait pas de notice digne de ce nom
viala isabelle,"5,0",9 juin 2019,Très bon téléphone avec son petit prix. Je recommande.
Josmar,"5,0",10 avril 2019,Top
Client Kindle,"4,0",17 mai 2019,Acheté pour son autonomie pour utiliser appli pour vae
Tattegrain Sabrina,"5,0",2 mai 2019,Tél au top pour le prix.
dominique ,"5,0",28 avril 2019,tres bon telephone il est super
Client d'Amazon,"5,0",13 avril 2019,Bon article. Pas de problème.
Dr Jones,"5,0",7 mars 2019,"C'est un terminal que je n'aurai pas spontanément recherché car je n'en connaissais
pas le nom, en revanche il est particulièrement agréable à utiliser et compare très
Favorablement avec les autres téléphones du marché dans sa gamme
L'écran large est particulièrement confortable pour la lecture de la presse et le travail sur les mails.
Le son et la photo sont très bons.
Consommatrice de vidéo sur mon téléphone, j'ai été agréablement surprise de la qualité et de la fluidité de l'image, ainsi que par les qualités d’affichage de l’écran.
L’interface Android est intuitive et l’écran tactile très réactif.
Mais surtout ce qui m'impressionne c'est la tenue et la rapidité de chargement de sa batterie.
Un très bon smartphone au bon rapport qualité/prix."
TesteurDeTout,"5,0",23 mars 2019,"Pas forcément les smartphones les plus cités et les plus répandus actuellement, les Motorola sont pourtant des appareils généralement d'excellente qualité.
Je disposais déjà, pour ma part, d'un Motorola Z Play 2 dont j'étais entièrement satisfait.
Ce modèle-là est un demi ton de gamme en dessous mais, à un prix moindre, propose un excellent rapport qualité prix.
Esthétiquement superbe, l'entrée en matière est bonne et le reste, dans l'ensemble, suit.
Je ne rentrerai pas dans les caractéristiques techniques puisque tout est indiqué sur la fiche descriptive, mais j'atteste d'une excellente qualité d'image de l'appareil photo intégré.
La taille de l'écran est pile poil idéale, car il n'est pas, à mon sens, trop grand, et pas trop petit non plus. Le juste milieu en somme. 6,2 pouces, rien à redire pour ma part.
Le processeur Qualcomm n'est pas, comme dit sur la fiche produit ""ultra rapide"" mais est largement dans la moyenne et contentera la majorité.
Pour ce qui est de l'OS, on est, évidemment sur Android. La version 9 Pie, en l'occurrence, qui est très agréable et facile d'utilisation.
Le temps de charge est, tout comme sur mon Moto Z Play 2, un peu plus rapide que la moyenne, me semble t-il.
L'appareil est pourvu d'un double lecteur de cartes SIM, ce qui peut se révéler pratique dans certaines situations, et il y a également de la place pour une carte SD.
Pour le reste, comme sur le Moto Z Play, il est possible d'activer certaines fonctions par des gestes, comme prendre une photo, allumer la lampe torche en secouant l'appareil, etc.
Cela peut faire sourire à première vue mais c'est réellement intéressant.
Mon unique petite réserve concerne les 4 GO de ram. Un poil faiblard à ce prix même si cela reste correct.
En résumé, un excellent smartphone à un prix compétitif. De quoi se laisser séduire !"
Mathieu,"4,0",19 mars 2019,Bonjour les photos sont tel catastrophique a ce que j'ai pu en entendre est il en fonction de filmer en 4k le g7 power merci et t'il meilleur que le ZenFone max pro M1 merci de vos réponses
Laurent,"5,0",24 février 2019,"Grand écran, très rapide, un Android 9 dernier cri, lecteur d'empreinte qui tombe sous l'index sans meme chercher.
Gestion de 2 SIM et d'une SD, Bref très content de mon achat"
Guiseppe V.,"5,0",6 avril 2019,"Pour son prix il est trop bien !!!
Fan de Motorola de la 1er heures je n'ai changerai pour rien...rien que pour les moto geste ;)
Le capteur d'empreinte au dos est trop pratique pour ouvre le telephone cash
L'écran est bien grand, bien lumineux
Le son pete bien
Avec la prise fournie il ce recharge en 30min
De toute facon d'en 1 ans y'en aura un mieux donc ca sert a rien de mettre plus cher dans un smartphone !!!"
Pascal RIQUET,"5,0",19 mars 2019,"Après une semaine d'utilisation.
Bon téléphone pour une utilisation classique.  Très bonne autonomie. Bel écran. Réagi très bien"
Seven Sam,"3,0",21 mai 2019,"Je comprend pas, je l'aurais acheter ici en Belgique il y aurais eu le nfc et sur ce modèle il n'existe pas... Bon on peu s'en passer, mais je ne comprend vraiment pas cette différence entre pays..."
Titof,"5,0",15 mai 2019,"MOTO G7 PLAY
Les + :
Bon écran
Bonne prise en main
Malgré le full plastique, bonne qualité de fabrication.
Performances assez bonnes pour un entrée de gamme
Qualité photo correcte mais en bonne luminosité
Autonomie phénoménale
Charge rapide et USB C
Android Pie 9.0 version proche du stock
Les - :
Photo de nuit.
2 go de ram mais le téléphone est assez réactif, j'aurai mis 3go au moins."
thierry,"5,0",8 mai 2019,"Ayant Déjà eu des Motorola , celui ci comme smart de réserve et parfait, petit format très belle écran bonne fluidité, interface pure android avec un soupçon de Motorola bienvenue, appareil photos moyen mais correct pour le prix, sortir jack 3.5 cool…. Autonomie très correct ( en fonction de son utilisation ) Il se glisse dans une poche ou veste très discret et léger, belle aspect  et qualite de fabrication au rendez vous ."
Eric RIET,"5,0",13 mai 2019,"Parfait excellent rapport qualité prix.
Le seul reproche est le poids dans cette version Power, mais bon plus d'autonomie veut dire plus grosse batterie et donc appareil plus lourd...
Très très bien"
bibi,"4,0",20 mai 2019,Nickel sauf... pas de capteur Compass/magnetomètre. Dommage c'était un de mes critères d'achat. Trompé par GSMarena. Le site Motorola n'en fait effectivement pas mention.
Marcel8854,"5,0",26 mai 2019,"Remplace Moto G5s que j'ai donné, charge super rapide plus de fonction que le G5s prise empreinte au dos et arrêt par touche du côté pour moi un peu moins bien que G5S mais excellent appareil pour ce pris . Satisfait"
Philip,"5,0",3 juin 2019,"Parfait pour le prix. Ça fonctionne parfaitement. Un négatif mineur, je souhaite que l'empreinte digitale est restée sur le devant plutôt que sur le dos."
July,"5,0",20 avril 2019,Téléphone parfait répond à mes attentes..et sa housse en silicone en plus c top
liloue,"4,0",9 juin 2019,Toujours contente de Motorola !! Très bon rapport qualité prix...
Hlc,"5,0",5 juin 2019,"Très bon téléphone, acheté pour remplacer un .... Moto G de seconde génération (2013) qui était toujours pas trop mal .....
Autonomie au top et performances de bon niveau."
Amazon Customer,"5,0",29 avril 2019,"Rapport qualité -prix est super!
Excellent for the price."
