user,rating,date,review
Client d'Amazon,"5,0",8 août 2018,Ce smartphone est fidèle aux critiques positives qui sont énoncées par tous organismes du secteur. Que du bon en tout point avec en plus une taille qui est pour moi des plus appréciable pour un produit nomade.
ED,"5,0",10 juillet 2018,"Pour le moment au bout de quelques jours d'utilisation très content de ce téléphone. Charge vite, batterie tient longtemps, photos de bonne qualité. A voir pour la suite..."
Client d'Amazon,"5,0",24 mai 2018,"Tout simplement topissime !
Tout est super génial
.... Et de très grande qualité
Vive Sony 😀😀😀😀😆
Je recommande à 2000%"
Michel Molinié,"5,0",6 octobre 2018,"Classique, excellente réception des signaux, bon partage de connexion, bien en main, identification pratique et très facile d'utilisation."
Client d'Amazon,"5,0",25 mars 2019,"Super contente de ce téléphone, petit et instintif, il remplace mon Z5 compact."
Claudine T,"5,0",30 novembre 2018,"Assez facile a utiliser, la camera est vraiment très bonne, je suis très satisfaite de mon achat"
XAVIER,"4,0",26 juillet 2018,"Enfin un produit pouvant rivaliser avec les smartphones haut gamme (convivialité, écran ...).
Je recommande ce produit avec son prix attractif."
WhiteBerry,"5,0",15 août 2018,"Pour un usage pro et perso.
C'est un smartphone haut de gamme compact, qui rentre dans une poche de pantalon sans nous gêner et tient bien une main."
VG,"5,0",11 décembre 2018,Plus de 15 ans de fidélité à la marque et jamais déçu. Le format compact est juste top.
HL,"4,0",15 décembre 2018,"Reçu sous 3 jours, produit conforme à la description
Je recommande sans reserve"
Client d'Amazon,"4,0",21 décembre 2018,Utilisation perso et pro
"""gaiachen""","5,0",9 janvier 2019,mais lourd
Michaël Sapart,"5,0",13 juin 2018,"Un super beau smartphone, il faut prendre l'étui sony avec. Très bonne qualité"
The_WhiteWolff,"5,0",8 septembre 2018,"Super, livre avant la date. En parfait état, aucun problème."
bruno,"5,0",25 janvier 2019,rein  a dire
Davyduk,"5,0",26 juin 2018,"Très bon tel, taille adéquate !"
Thevenard,"5,0",3 mars 2019,Conforme à mes attentes
alves sandrine,"5,0",4 mars 2019,il est juste magnifique
Sergio Pinto,"5,0",28 septembre 2018,Très bon téléphone
captainsanders,"5,0",15 avril 2018,"Il s'agit du seul smartphone Android avec des puissances haut de gamme, mais avec une taille raisonnable et permettant son utilisation avec une main. Ayant eu un Z5 compact avant, je confirme que cet appareil reste très confortable à utiliser, un peu moins léger, mais son écran est bien meilleur. Je l'utilise aussi souvent avec Android Auto, et je constate effectivement une parfaite fluidité, rendant l’expérience plus agréable qu’auparavant.
Bref, un excellent choix pour les possesseurs d'anciens modèles Z compact et pour toute autre personne à la recherche d'un smartphone puissant et pas trop grand."
MJ,"4,0",10 avril 2018,"Pas mal du tout. Une belle progression dans la gamme des compacts Sony. Une alternative dans le monde des smartphone monstrueusement grands.
Ecran excellent et réactif, pas tjrs le cas chez Sony.
La coque en noir est sensible aux rayures, donc coque impérative.
Véloce, très très véloce. Je viens d'un Oneplus 5T revendu quand le XZ2 compact est passé en précommande après un passage sur le XZ1 que j'avais moyennement apprécié (finitions correctes sans plus).
Bon le hic quand même... j'ai dû faire appel à Amazon pour un échange car mon exemplaire a un gros souci de qualité sonore. Le HP inférieur vibre et grésille! De la folie! Appels en HP, musique ou notifications sont affreux d'un point de vue acoustique à cause de ce défaut. Mise à jour logiciel et reboot n'y ont rien changé..."
Jean Valjean,"1,0",1 juin 2018,"Appareil de haut de gamme. Rapide, mais un peu lourd .
En revanche, gros soucis avec l'appareil photo qui se bloque systématiquement.
La batterie a une autonomie très limitée. En usage professionnel, 2 charges  par jour pour pouvoir terminer la journée.
Dommage.
Je reprend la suite de mon commentaire. j'ai renvoyé le Sony au SAS d'Amazon. Après plus de 3 semaines de recherches infructueuses dans le labyrinthe des stocks d'Amazon, mon colis reste introuvable et toujours aucun remboursement. Le système Amazon montre ses limites. Je commence à croire qu'il faut les fuir!!!!"
waide99,"5,0",23 avril 2018,"Téléphone puissant, avec une autonomie plutôt bonne. Et surtout des dimensions qui permettent enfin de trancher avec la course aux téléphone toujours plus grand.
Ecran impressionnant et réactif, capteur d'empreinte réactif, 5 étoiles!"
Pablo Marcos,"5,0",14 juin 2018,"Je cherchais un téléphone comme celui-ci depuis des années. Pour moi, il réunit trois caractéristiques fondamentales qui le rendent unique. La taille est très contenue. Pour les jours qui courent est un luxe d'avoir un téléphone portable assez performant qui tient dans la paume de votre main. À l'intérieur, vous avez le meilleur processeur et une capacité de stockage impressionnante. Et l'extra, le plus, il permet d'introduire une deuxième carte SIM qui marche très bien."
Client d'Amazon,"3,0",12 juin 2018,"Dommage, pas de double capteur photo et un écran grossier"
MisterBlue,"5,0",8 mai 2018,"Si vous êtes portés sur les «Phablets» et les gros téléphones, passez votre route. On est ici sur du compact. J'ai posé un stylo à côté du téléphone sur une de mes photos pour que vous puissiez vous faire une idée. Ce XZ2 compact a l'avantage de se glisser facilement dans une poche tout en embarquant le meilleur des techno actuelles. Un processeur Octacore , 4GB de Ram , 64GB de mémoire de stockage sur de l'Android 8. C'est du petit format mais définitivement costaud. Depuis plusieurs jours j'essaye de de l’essouffler avec des applications gourmandes mais il ne semble pas donner de signes de faiblesses. C'est pour moi le gros gros point fort de l'appareil.
Le design est classique et pas franchement tape à l'oeil. Les finitions et l'assemblage  me semblent nickel. Attention par contre c'est un vrai aimant à trace de doigt et la coque arrière marque assez vite je trouve. Je sais que beaucoup se plaignent de l'emplacement du capteur d'empreinte. J'ai un Zenphone avec capteur avant et un Umi avec capteur arrière plus haut. Là c'est un peu plus central. Par expérience, je sais que c'est juste un coup à prendre. Le capteur est au passage redoutable. Je n'ai pas eu un seul échec sur la reconnaissance de mon doigt. En parlant de la coque arrière, elle est légèrement bombé. Le téléphone reste quand même stable une fois posé sur une table
L'écran  au format  18:9 est agréable. Après il faut que la taille vous convienne. Autant sur un usage  très nomade, c'est un gros avantage de ne pas avoir à se trimballer un machin énorme qui ne rentre dans aucune poche. Autant si vous êtes du genre soirée couette/smartphone, c'est un poil petit. Bref on ne peut pas tout avoir .Je précise que la réactivité est au rendez vous. Après, vu la taille,  c'est pas pour les gros doigts  Toujours au rayon tout va bien, l'appareil photo est assez emballant. J'adore le bouton dédié à l'APN. La qualité des clichés est vraiment très bonne. Clairement l'un des meilleurs APN que j'ai vu.
Niveau connectique, la bonne nouvelle c'est l'USB C et la fin de galère pour brancher le smartphone. La prise marche dans un sens comme dans l'autre. Pas de risque d’abîmer le connecteur. Par contre point négatif, il n'y a pas de prise audio jack. Un adaptateur USB C vers Jack  est cependant fourni. Mais pour le coup, vous ne pourrez charger le smartphone et utiliser un casque en même temps. C'est le seul truc qui me chiffonne. Je ne veux pas enlever une étoile pour ça , mais on va dire que ma note est  de 4,5 étoiles.
J'ai aimé :
- C'est du Sony
- Un smartphone vraiment puissant
- Android 8
- Appareil photo d'excellente qualité
- excellente finition et prise en main
J'ai pas aimé :
- Absence de prise casque jack (mais Adaptateur fourni)"
skwan,"5,0",7 avril 2018,"Précommander le 1er avril pour l'offre sony (a voir dans 3 semaine), la précommande étais super,  une fois envoyer j'ai eu une réduction de la commande du prix initiale passer de 599 a 539€, Sinan ce smartphone pour l'instant rien a dire très fluide et très bon pour la prise en main avec sa forme dos arrondi. Livraison bien prévu pour le 6 comme convenu ( Et avec prime c'est pas trop souvent le cas..)"
Seibel Arnaud,"5,0",16 octobre 2018,"les critiques professionnelles sont unanimes pour dire qu'il s'agit d'un excellent smartphone et je confirme qu'à l'usage, il est parfait.
la double nano-sim est juste le top du top pour les professionnels .
Le capteur à l'arrière ne me dérange absolument pas.
C'est un téléphone que je recommande, j'en suis pleinement satisfait.
Petit regret pour la prise jack disparut quand même"
