user,rating,date,review
Martial,"5,0",22 mai 2019,"Très passionnée par LINUX, j'avais besoin d'un PC portable léger et rapide tournant soit sous Linux ou soit sur Chrome OS.
Ce Chromebook correspond tout à fait à ce dont j'avais besoin, il s'allume en quelques secondes et l'accès Wi-Fi est très rapide.
De plus il est possible d'installer les applications Android, même les jeux comme par exemple Asphalt tournent sans difficulté.
Bravo ASUS et AMAZON."
Bri71,"5,0",11 mai 2019,"Acheté pour des personnes âgées. Il est compact, équipé parfaitement et de manière simplifiée, tactile ce qui permet un maniement hyper simple. Je pense en acheter un deuxième pour moi tellement il est beau et pratique."
Client d'Amazon,"5,0",3 février 2019,"Appareil hyper rapide, Legé, parfait pour mon usage a la maison"
Florian Ternisien,"3,0",3 janvier 2019,"Qualité écran moyenne, démarrage rapide, pour profiter de la pleine expérience il vaut mieux être connecté à Internet.
Le mien avait un soucis d'enceinte qui grésillé ! retour chez Amazon et remboursement."
Client d'Amazon,"5,0",6 mai 2019,"Ce Chromebook est un des meilleurs sur le marché. Les seuls défauts qu'il a c'est l'absence de capteur d'empreintes, ansi qu'un poids et un écran assez conséquent qui réduit considérablement le confort d'usage en mode tablette. Ce même PC en version 11-12 pouces + capteur d'empreintes, t'obtiens la machine parfaite."
tardivel,"5,0",28 décembre 2018,"Taille idéale,très léger facile à manipuler.le top c'est qu'il est tactile je l ai acheté pour ma fille qui en a besoin pour le collège."
Anaelle Samama,"5,0",22 mars 2019,Parfait j’ai le 16 pouces bon tactile mais parfait ! Seul défaut les enceintes sont en dessous de l’ordi donc le son est très souvent ettoufe et mauvais
Marvinho ,"3,0",23 avril 2019,"Je ne m’attendais pas à cette qualité d’image et de son, je suis un peu déçu sur ces points mais sinon le PC tourne bien"
Client d'Amazon,"5,0",25 décembre 2018,"Très bon chromebook. Interface agréable et totalement différente d'un PC Windows. Bonnes finitions, poids très léger."
Rusinowicz L.,"5,0",5 février 2019,"Pas d’écran tactile , alors que dans le titre c’était precisé bien prendre en compte la dalle 720p car franchement en 2019 ça fais tache .... c’est vraiment moche des noirs qui sont gris claire pour le prix de ce chromebook j’en attendais mieux , mis à part les 8 Go de ram on trouve mieux pour moins chère."
